250	Latin Small Letter U With Acute
251	Latin Small Letter U With Circumflex
252	Latin Small Letter U With Diaeresis
253	Latin Small Letter Y With Acute
254	Latin Small Letter Thorn
255	Latin Small Letter Y With Diaeresis
256	Latin Capital Letter A With Macron
257	Latin Small Letter A With Macron
258	Latin Capital Letter A With Breve
259	Latin Small Letter A With Breve
260	Latin Capital Letter A With Ogonek
261	Latin Small Letter A With Ogonek
262	Latin Capital Letter C With Acute
263	Latin Small Letter C With Acute
264	Latin Capital Letter C With Circumflex
265	Latin Small Letter C With Circumflex
266	Latin Capital Letter C With Dot Above
267	Latin Small Letter C With Dot Above
268	Latin Capital Letter C With Caron
269	Latin Small Letter C With Caron
270	Latin Capital Letter D With Caron
271	Latin Small Letter D With Caron
272	Latin Capital Letter D With Stroke
273	Latin Small Letter D With Stroke
274	Latin Capital Letter E With Macron
275	Latin Small Letter E With Macron
276	Latin Capital Letter E With Breve
277	Latin Small Letter E With Breve
278	Latin Capital Letter E With Dot Above
279	Latin Small Letter E With Dot Above
280	Latin Capital Letter E With Ogonek
281	Latin Small Letter E With Ogonek
282	Latin Capital Letter E With Caron
283	Latin Small Letter E With Caron
284	Latin Capital Letter G With Circumflex
285	Latin Small Letter G With Circumflex
286	Latin Capital Letter G With Breve
287	Latin Small Letter G With Breve
288	Latin Capital Letter G With Dot Above
289	Latin Small Letter G With Dot Above
290	Latin Capital Letter G With Cedilla
291	Latin Small Letter G With Cedilla
292	Latin Capital Letter H With Circumflex
293	Latin Small Letter H With Circumflex
294	Latin Capital Letter H With Stroke
295	Latin Small Letter H With Stroke
296	Latin Capital Letter I With Tilde
297	Latin Small Letter I With Tilde
298	Latin Capital Letter I With Macron
299	Latin Small Letter I With Macron
300	Latin Capital Letter I With Breve
301	Latin Small Letter I With Breve
302	Latin Capital Letter I With Ogonek
303	Latin Small Letter I With Ogonek
304	Latin Capital Letter I With Dot Above
305	Latin Small Letter Dotless I
306	Latin Capital Ligature Ij
307	Latin Small Ligature Ij
308	Latin Capital Letter J With Circumflex
309	Latin Small Letter J With Circumflex
310	Latin Capital Letter K With Cedilla
311	Latin Small Letter K With Cedilla
312	Latin Small Letter Kra
313	Latin Capital Letter L With Acute
314	Latin Small Letter L With Acute
315	Latin Capital Letter L With Cedilla
316	Latin Small Letter L With Cedilla
317	Latin Capital Letter L With Caron
318	Latin Small Letter L With Caron
319	Latin Capital Letter L With Middle Dot
320	Latin Small Letter L With Middle Dot
321	Latin Capital Letter L With Stroke
322	Latin Small Letter L With Stroke
323	Latin Capital Letter N With Acute
324	Latin Small Letter N With Acute
325	Latin Capital Letter N With Cedilla
326	Latin Small Letter N With Cedilla
327	Latin Capital Letter N With Caron
328	Latin Small Letter N With Caron
329	Latin Small Letter N Preceded By Apostrophe
330	Latin Capital Letter Eng
331	Latin Small Letter Eng
332	Latin Capital Letter O With Macron
333	Latin Small Letter O With Macron
334	Latin Capital Letter O With Breve
335	Latin Small Letter O With Breve
336	Latin Capital Letter O With Double Acute
337	Latin Small Letter O With Double Acute
338	Latin Capital Ligature Oe
339	Latin Small Ligature Oe
340	Latin Capital Letter R With Acute
341	Latin Small Letter R With Acute
342	Latin Capital Letter R With Cedilla
343	Latin Small Letter R With Cedilla
344	Latin Capital Letter R With Caron
345	Latin Small Letter R With Caron
346	Latin Capital Letter S With Acute
347	Latin Small Letter S With Acute
348	Latin Capital Letter S With Circumflex
349	Latin Small Letter S With Circumflex
350	Latin Capital Letter S With Cedilla
351	Latin Small Letter S With Cedilla
352	Latin Capital Letter S With Caron
353	Latin Small Letter S With Caron
354	Latin Capital Letter T With Cedilla
355	Latin Small Letter T With Cedilla
356	Latin Capital Letter T With Caron
357	Latin Small Letter T With Caron
358	Latin Capital Letter T With Stroke
359	Latin Small Letter T With Stroke
360	Latin Capital Letter U With Tilde
361	Latin Small Letter U With Tilde
362	Latin Capital Letter U With Macron
363	Latin Small Letter U With Macron
364	Latin Capital Letter U With Breve
365	Latin Small Letter U With Breve
366	Latin Capital Letter U With Ring Above
367	Latin Small Letter U With Ring Above
368	Latin Capital Letter U With Double Acute
369	Latin Small Letter U With Double Acute
370	Latin Capital Letter U With Ogonek
371	Latin Small Letter U With Ogonek
372	Latin Capital Letter W With Circumflex
373	Latin Small Letter W With Circumflex
374	Latin Capital Letter Y With Circumflex
375	Latin Small Letter Y With Circumflex
376	Latin Capital Letter Y With Diaeresis
377	Latin Capital Letter Z With Acute
378	Latin Small Letter Z With Acute
379	Latin Capital Letter Z With Dot Above
380	Latin Small Letter Z With Dot Above
381	Latin Capital Letter Z With Caron
382	Latin Small Letter Z With Caron
383	Latin Small Letter Long S
384	Latin Small Letter B With Stroke
385	Latin Capital Letter B With Hook
386	Latin Capital Letter B With Topbar
387	Latin Small Letter B With Topbar
388	Latin Capital Letter Tone Six
389	Latin Small Letter Tone Six
390	Latin Capital Letter Open O
391	Latin Capital Letter C With Hook
392	Latin Small Letter C With Hook
393	Latin Capital Letter African D
394	Latin Capital Letter D With Hook
395	Latin Capital Letter D With Topbar
396	Latin Small Letter D With Topbar
397	Latin Small Letter Turned Delta
398	Latin Capital Letter Reversed E
399	Latin Capital Letter Schwa
400	Latin Capital Letter Open E
401	Latin Capital Letter F With Hook
402	Latin Small Letter F With Hook
403	Latin Capital Letter G With Hook
404	Latin Capital Letter Gamma
405	Latin Small Letter Hv
406	Latin Capital Letter Iota
407	Latin Capital Letter I With Stroke
408	Latin Capital Letter K With Hook
409	Latin Small Letter K With Hook
410	Latin Small Letter L With Bar
411	Latin Small Letter Lambda With Stroke
412	Latin Capital Letter Turned M
413	Latin Capital Letter N With Left Hook
414	Latin Small Letter N With Long Right Leg
415	Latin Capital Letter O With Middle Tilde
416	Latin Capital Letter O With Horn
417	Latin Small Letter O With Horn
418	Latin Capital Letter Oi
419	Latin Small Letter Oi
420	Latin Capital Letter P With Hook
421	Latin Small Letter P With Hook
422	Latin Letter Yr
423	Latin Capital Letter Tone Two
424	Latin Small Letter Tone Two
425	Latin Capital Letter Esh
426	Latin Letter Reversed Esh Loop
427	Latin Small Letter T With Palatal Hook
428	Latin Capital Letter T With Hook
429	Latin Small Letter T With Hook
430	Latin Capital Letter T With Retroflex Hook
431	Latin Capital Letter U With Horn
432	Latin Small Letter U With Horn
433	Latin Capital Letter Upsilon
434	Latin Capital Letter V With Hook
435	Latin Capital Letter Y With Hook
436	Latin Small Letter Y With Hook
437	Latin Capital Letter Z With Stroke
438	Latin Small Letter Z With Stroke
439	Latin Capital Letter Ezh
440	Latin Capital Letter Ezh Reversed
441	Latin Small Letter Ezh Reversed
442	Latin Small Letter Ezh With Tail
443	Latin Letter Two With Stroke
444	Latin Capital Letter Tone Five
445	Latin Small Letter Tone Five
446	Latin Letter Inverted Glottal Stop With Stroke
447	Latin Letter Wynn
448	Latin Letter Dental Click
449	Latin Letter Lateral Click
450	Latin Letter Alveolar Click
451	Latin Letter Retroflex Click
452	Latin Capital Letter Dz With Caron
