7482	1	&#7482;	ᴺ	Modifier Letter Capital N	Latin	Lm	(Phonetic)	_ipa	Phonetic Extensions
7714	1	&#7714;	Ḣ	Latin Capital Letter H With Dot Above	Latin	L&	Latin	Latn	Latin Extended Additional
7888	22	&#7888;	Ố	Latin Capital Letter O With Circumflex And Acute	Latin	L&	Latin	Latn	Latin Extended Additional
8004	4	&#8004;	ὄ	Greek Small Letter Omicron With Psili And Oxia	Greek	L&	Greek	Grek	Greek Extended
8236	726	&#8236;	‬	Pop Directional Formatting	Common	Cf	(Symbols)	_sym	General Punctuation
8352	3	&#8352;	₠	Euro-currency Sign	Common	Sc	(Symbols)	_sym	Currency Symbols
8410	6	&#8410;	⃚	Combining Anticlockwise Ring Overlay	Inherited	Mn	(Symbols)	_sym	Combining Diacritical Marks for Symbols
8468	1	&#8468;	℔	L B Bar Symbol	Common	So	(Symbols)	_sym	Letterlike Symbols
8642	2	&#8642;	⇂	Downwards Harpoon With Barb Rightwards	Common	So	(Drawing)	_drw	Arrows
8758	37	&#8758;	∶	Ratio	Common	Sm	(Mathematical)	_mth	Mathematical Operators
9222	2	&#9222;	␆	Symbol For Acknowledge	Common	So	(Symbols)	_sym	Control Pictures
9570	2	&#9570;	╢	Box Drawings Vertical Double And Left Single	Common	So	(Drawing)	_drw	Box Drawing
9628	10	&#9628;	▜	Quadrant Upper Left And Upper Right And Lower Right	Common	So	(Drawing)	_drw	Block Elements
9744	64	&#9744;	☐	Ballot Box	Common	So	(Mathematical)	_mth	Miscellaneous Symbols
9802	11	&#9802;	♊	Gemini	Common	So	(Mathematical)	_mth	Miscellaneous Symbols
9860	3	&#9860;	⚄	Die Face-5	Common	So	(Mathematical)	_mth	Miscellaneous Symbols
10034	21	&#10034;	✲	Open Centre Asterisk	Common	So	(Symbols)	_sym	Dingbats
10150	2	&#10150;	➦	Heavy Black Curved Upwards And Rightwards Arrow	Common	So	(Symbols)	_sym	Dingbats
10382	1	&#10382;	⢎	Braille Pattern Dots-2348	Braille	So	(Braille)	_brl	Braille Patterns
10498	1	&#10498;	⤂	Leftwards Double Arrow With Vertical Stroke	Common	Sm	(Drawing)	_drw	Supplemental Arrows-B
10556	1	&#10556;	⤼	Top Arc Clockwise Arrow With Minus	Common	Sm	(Drawing)	_drw	Supplemental Arrows-B
10614	1	&#10614;	⥶	Less-than Above Leftwards Arrow	Common	Sm	(Drawing)	_drw	Supplemental Arrows-B
