

*************************** 1. row ***************************
query_name: Histogram for length(name)
bin     num     bin_pct running_total   running_pct     nz_running_total        nz_running_pct
query_name: Histogram for length(time_zone)
bin     num     bin_pct running_total   running_pct     nz_running_total        nz_running_pct
0       338764  20.6398 338764  20.6398 0       0.0000
1       2       0.0001  338766  20.6400 2       0.0002
2       11      0.0007  338777  20.6406 13      0.0010
3       3       0.0002  338780  20.6408 16      0.0012
4       13767   0.8388  352547  21.4796 13783   1.0582
5       202834  12.3580 555381  33.8376 216617  16.6303
6       218685  13.3238 774066  47.1614 435302  33.4193
7       26816   1.6338  800882  48.7953 462118  35.4780
8       72253   4.4022  873135  53.1974 534371  41.0251
9       94216   5.7403  967351  58.9377 628587  48.2583
10      6238    0.3801  973589  59.3178 634825  48.7372
11      4286    0.2611  977875  59.5789 639111  49.0663
12      11342   0.6910  989217  60.2699 650453  49.9370
13      40      0.0024  989257  60.2724 650493  49.9401
14      2609    0.1590  991866  60.4313 653102  50.1404
15      1032    0.0629  992898  60.4942 654134  50.2196
16      2       0.0001  992900  60.4943 654136  50.2198
17      2       0.0001  992902  60.4944 654138  50.2199
18      3       0.0002  992905  60.4946 654141  50.2201
19      309     0.0188  993214  60.5135 654450  50.2439
21      1       0.0001  993215  60.5135 654451  50.2439
22      6201    0.3778  999416  60.8913 660652  50.7200
23      1       0.0001  999417  60.8914 660653  50.7201
26      587119  35.7713 1586536 96.6627 1247772 95.7948
27      54387   3.3136  1640923 99.9764 1302159 99.9702
28      349     0.0213  1641272 99.9976 1302508 99.9970
....
69      1       0.0001  1641301 99.9994 1302537 99.9992
75      1       0.0001  1641302 99.9995 1302538 99.9993
77      1       0.0001  1641303 99.9995 1302539 99.9994
81      1       0.0001  1641304 99.9996 1302540 99.9995
88      2       0.0001  1641306 99.9997 1302542 99.9996
89      1       0.0001  1641307 99.9998 1302543 99.9997
106     1       0.0001  1641308 99.9998 1302544 99.9998
110     1       0.0001  1641309 99.9999 1302545 99.9998
121     1       0.0001  1641310 99.9999 1302546 99.9999
153     1       0.0001  1641311 100.0000        1302547 100.0000
