

*************************** 1. row ***************************
query_name: Histogram for length(name)
bin     num     bin_pct running_total   running_pct     nz_running_total        nz_running_pct
56      510     0.0311  1634445 99.5817 545779  98.7576
57      509     0.0310  1634954 99.6127 546288  98.8497
58      523     0.0319  1635477 99.6446 546811  98.9443
59      354     0.0216  1635831 99.6661 547165  99.0084
60      405     0.0247  1636236 99.6908 547570  99.0817
61      363     0.0221  1636599 99.7129 547933  99.1474
62      303     0.0185  1636902 99.7314 548236  99.2022
63      221     0.0135  1637123 99.7448 548457  99.2422
64      326     0.0199  1637449 99.7647 548783  99.3012
65      309     0.0188  1637758 99.7835 549092  99.3571
66      219     0.0133  1637977 99.7969 549311  99.3967
67      157     0.0096  1638134 99.8064 549468  99.4251
68      155     0.0094  1638289 99.8159 549623  99.4532
69      148     0.0090  1638437 99.8249 549771  99.4800
70      116     0.0071  1638553 99.8320 549887  99.5009
71      141     0.0086  1638694 99.8406 550028  99.5265
72      123     0.0075  1638817 99.8480 550151  99.5487
73      112     0.0068  1638929 99.8549 550263  99.5690
74      139     0.0085  1639068 99.8633 550402  99.5941
75      169     0.0103  1639237 99.8736 550571  99.6247
76      112     0.0068  1639349 99.8805 550683  99.6450
77      75      0.0046  1639424 99.8850 550758  99.6585
78      75      0.0046  1639499 99.8896 550833  99.6721
79      68      0.0041  1639567 99.8937 550901  99.6844
80      74      0.0045  1639641 99.8983 550975  99.6978
81      79      0.0048  1639720 99.9031 551054  99.7121
82      185     0.0113  1639905 99.9143 551239  99.7456
83      169     0.0103  1640074 99.9246 551408  99.7762
84      64      0.0039  1640138 99.9285 551472  99.7877
85      40      0.0024  1640178 99.9310 551512  99.7950
86      94      0.0057  1640272 99.9367 551606  99.8120
87      90      0.0055  1640362 99.9422 551696  99.8283
88      42      0.0026  1640404 99.9447 551738  99.8359
89      31      0.0019  1640435 99.9466 551769  99.8415
90      41      0.0025  1640476 99.9491 551810  99.8489
91      33      0.0020  1640509 99.9511 551843  99.8549
92      26      0.0016  1640535 99.9527 551869  99.8596
93      25      0.0015  1640560 99.9542 551894  99.8641
94      39      0.0024  1640599 99.9566 551933  99.8712
95      24      0.0015  1640623 99.9581 551957  99.8755
96      13      0.0008  1640636 99.9589 551970  99.8779
97      23      0.0014  1640659 99.9603 551993  99.8820
98      26      0.0016  1640685 99.9619 552019  99.8867
99      20      0.0012  1640705 99.9631 552039  99.8903
100     588     0.0358  1641293 99.9989 552627  99.9967
101     2       0.0001  1641295 99.9990 552629  99.9971
102     3       0.0002  1641298 99.9992 552632  99.9976
103     3       0.0002  1641301 99.9994 552635  99.9982
